loss,accaracy
0.652341,0.68
0.664994,0.68
0.66713,0.68
0.668065,0.68
0.671214,0.68
0.686813,0.66
0.672255,0.68
0.67432,0.68
0.683703,0.68
0.651531,0.68
0.666781,0.68
0.656824,0.68
0.66704,0.68
0.676857,0.68
0.677719,0.68
0.67794,0.68
0.676321,0.68
0.67441,0.68
0.671845,0.68
0.670901,0.68
0.670306,0.68
0.669984,0.68
0.670006,0.68
0.669748,0.68
0.669695,0.68
0.669702,0.68
0.669662,0.66
0.669643,0.66
0.669631,0.66
0.669631,0.66
